"id","attendance_date","time","machine_id","create_uid/id","create_date","date","department/id","name","employee_id/id","write_uid/id","write_date"
"__export__.ecube_raw_attendance_158163","2017-12-27 05:40:08","05:40:08","7010","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN SECURITY STAFF","192.168.20.22","__export__.hr_employee_1324","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158164","2017-12-27 07:39:50","07:39:50","2085","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN SECURITY STAFF","192.168.20.22","__export__.hr_employee_1327","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158165","2017-12-27 08:23:26","08:23:26","5945","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN FABRICS STORE","192.168.20.22","__export__.hr_employee_1307","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158166","2017-12-27 08:38:12","08:38:12","5024","base.user_root","2017-12-27 11:50:07","2017-12-27","F.KNITTING","192.168.20.22","__export__.hr_employee_1440","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158167","2017-12-27 08:39:27","08:39:27","7497","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1632","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158168","2017-12-27 08:40:29","08:40:29","8217","base.user_root","2017-12-27 11:50:07","2017-12-27","R&I DEPARTMENT","192.168.20.22","__export__.hr_employee_1664","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158169","2017-12-27 08:40:34","08:40:34","8801","base.user_root","2017-12-27 11:50:07","2017-12-27","STITCHING LINE 06","192.168.20.22","__export__.hr_employee_1801","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158170","2017-12-27 08:44:02","08:44:02","6105","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN FABRICS STORE","192.168.20.22","__export__.hr_employee_1308","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158171","2017-12-27 08:44:09","08:44:09","6605","base.user_root","2017-12-27 11:50:07","2017-12-27","COMMERCIAL","192.168.20.22","__export__.hr_employee_1378","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158172","2017-12-27 08:44:21","08:44:21","8842","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN FABRICS STORE","192.168.20.22","__export__.hr_employee_1312","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158173","2017-12-27 08:44:34","08:44:34","8188","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1640","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158174","2017-12-27 08:52:17","08:52:17","23","base.user_root","2017-12-27 11:50:07","2017-12-27","","192.168.20.22","","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158175","2017-12-27 08:53:50","08:53:50","8936","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1650","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158176","2017-12-27 08:55:29","08:55:29","8003","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1638","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158177","2017-12-27 08:56:38","08:56:38","116","base.user_root","2017-12-27 11:50:07","2017-12-27","","192.168.20.22","","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158178","2017-12-27 08:56:53","08:56:53","4847","base.user_root","2017-12-27 11:50:07","2017-12-27","STITCHING LINE 04","192.168.20.22","__export__.hr_employee_1706","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158179","2017-12-27 08:58:07","08:58:07","8954","base.user_root","2017-12-27 11:50:07","2017-12-27","CUTTING ""A""","192.168.20.22","__export__.hr_employee_1389","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158180","2017-12-27 08:59:41","08:59:41","8641","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN FABRICS STORE","192.168.20.22","__export__.hr_employee_1310","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158181","2017-12-27 09:00:01","09:00:01","8061","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT ""F.D""","192.168.20.22","__export__.hr_employee_1603","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158182","2017-12-27 09:02:13","09:02:13","8677","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1647","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158183","2017-12-27 09:02:22","09:02:22","8489","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1644","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158184","2017-12-27 09:02:38","09:02:38","8285","base.user_root","2017-12-27 11:50:07","2017-12-27","STITCHING LINE 06","192.168.20.22","__export__.hr_employee_1785","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158185","2017-12-27 09:02:53","09:02:53","6139","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN FABRICS STORE","192.168.20.22","__export__.hr_employee_1309","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158186","2017-12-27 09:02:58","09:02:58","8496","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1645","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158187","2017-12-27 09:03:02","09:03:02","7902","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1636","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158188","2017-12-27 09:03:46","09:03:46","7896","base.user_root","2017-12-27 11:50:07","2017-12-27","PACKING ""A""","192.168.20.22","__export__.hr_employee_1567","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158189","2017-12-27 09:03:56","09:03:56","8967","base.user_root","2017-12-27 11:50:07","2017-12-27","ADMIN FABRICS STORE","192.168.20.22","__export__.hr_employee_1311","base.user_root","2017-12-27 11:50:07"
"__export__.ecube_raw_attendance_158190","2017-12-27 09:04:24","09:04:24","3574","base.user_root","2017-12-27 11:50:07","2017-12-27","PRODUCT DEVELOPMENT SAMPLING","192.168.20.22","__export__.hr_employee_1627","base.user_root","2017-12-27 11:50:07"
